	city	cloudiness	country	date	humidity	lat	lng	temp_max	wind speed
329	Arauca	88	CO	1504945902	99	7.08	-70.76	71.55	3.29
330	Nelson Bay	0	AU	1504944000	50	-32.72	152.15	57.2	5.82
331	Vaini	75	TO	1504944000	94	-21.2	-175.2	71.6	6.98
332	Vaini	75	TO	1504944000	94	-21.2	-175.2	71.6	6.98
333	Masunga	0	BW	1504946166	20	-20.62	27.45	86.04	7.76
334	Marawi	68	PH	1504946166	83	8.0	124.29	75.51	2.62
335	Anadyr	75	RU	1504944000	76	64.75	177.48	57.2	11.18
336	Vangaindrano	88	MG	1504946167	86	-23.35	47.6	70.29	6.87
337	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
338	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
339	Amparihy	20	MG	1504944000	65	-25.02	46.97	77.0	28.86
340	Atuona	80	PF	1504946086	100	-9.8	-139.03	80.19	16.26
341	Kisanga	75	TZ	1504940400	78	-7.44	37.7	73.4	2.51
342	Fagersta	90	SE	1504943400	93	60.0	15.79	57.2	5.82
343	Chuy	100	UY	1504946146	97	-33.7	-53.46	61.29	11.01
344	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
345	Richards Bay	32	ZA	1504946169	70	-28.78	32.04	74.61	5.19
346	Butia	92	BR	1504945899	85	-30.12	-51.96	65.07	8.99
347	Narasannapeta	48	IN	1504946169	80	18.42	84.05	88.65	5.64
348	Dwarahat	0	IN	1504946169	70	29.78	79.43	76.32	1.72
349	Port Blair	8	IN	1504946170	100	11.67	92.75	83.61	11.56
350	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
351	La Rioja	75	ES	1504944000	67	42.25	-2.5	60.8	10.29
352	Macklin	0	CA	1504946170	65	52.33	-109.93	58.05	8.77
353	Trevi	0	IT	1504944000	68	41.9	12.49	75.2	3.36
354	Vega de Alatorre	92	MX	1504946171	100	20.03	-96.63	70.83	3.74
355	Meulaboh	36	ID	1504946125	100	4.14	96.13	82.44	7.31
356	Kashechewan	64	CA	1504946171	65	52.3	-81.62	46.89	10.89
357	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
358	Asti	75	IT	1504943700	100	44.9	8.21	64.4	7.76
359	Nanortalik	92	GL	1504946172	94	60.14	-45.24	38.43	6.42
360	Dwarka	0	IN	1504946172	92	22.24	68.97	83.34	10.45
361	Port Alfred	64	ZA	1504946081	86	-33.59	26.89	64.71	3.18
362	Kw?h?	0	ET	1504946173	29	13.48	39.55	83.61	2.17
363	Barrow	90	US	1504943580	100	71.29	-156.79	32.0	10.29
364	Belmonte	75	BR	1504944000	100	-15.86	-38.88	66.2	5.82
365	Quelimane	20	MZ	1504944000	65	-17.88	36.89	78.8	3.36
366	Lagoa	68	PT	1504946102	100	39.05	-27.98	71.19	9.55
367	Juchitan de Zaragoza	48	MX	1504946174	100	16.43	-95.02	80.82	8.99
368	College	90	US	1504943880	76	64.86	-147.8	51.8	6.31
